instant,date,season,year,month,hour,holiday,weekday,workingday,weather,temp,humidity,windspeed,rentals
161,2011-01-07,1,0,1,23,0,5,1,2,8.1,51.0,9.36,15
162,2011-01-08,1,0,1,0,0,6,0,2,8.1,51.0,9.36,25
163,2011-01-08,1,0,1,1,0,6,0,2,8.1,55.00000000000001,5.11,16
164,2011-01-08,1,0,1,2,0,6,0,2,8.1,55.00000000000001,0.0,16
165,2011-01-08,1,0,1,3,0,6,0,3,8.1,55.00000000000001,9.36,7
166,2011-01-08,1,0,1,4,0,6,0,3,8.1,55.00000000000001,9.36,1
167,2011-01-08,1,0,1,5,0,6,0,2,7.2,74.0,9.36,5
168,2011-01-08,1,0,1,6,0,6,0,2,7.2,74.0,9.36,2
169,2011-01-08,1,0,1,7,0,6,0,2,7.2,74.0,5.96,9
170,2011-01-08,1,0,1,8,0,6,0,3,7.2,93.0,5.96,15
171,2011-01-08,1,0,1,9,0,6,0,3,7.2,93.0,5.96,20
172,2011-01-08,1,0,1,10,0,6,0,2,8.1,80.0,9.36,61
173,2011-01-08,1,0,1,11,0,6,0,2,8.9,69.0,22.12,62
174,2011-01-08,1,0,1,12,0,6,0,2,8.9,59.0,20.42,98
175,2011-01-08,1,0,1,13,0,6,0,1,8.9,44.0,18.72,102
176,2011-01-08,1,0,1,14,0,6,0,1,8.9,32.0,28.07,95
177,2011-01-08,1,0,1,15,0,6,0,1,8.9,32.0,25.52,74
178,2011-01-08,1,0,1,16,0,6,0,1,8.1,29.0,25.52,76
179,2011-01-08,1,0,1,17,0,6,0,1,7.2,37.0,31.47,69
180,2011-01-08,1,0,1,18,0,6,0,1,6.4,39.0,17.01,55
181,2011-01-08,1,0,1,19,0,6,0,1,6.4,36.0,14.46,30
182,2011-01-08,1,0,1,20,0,6,0,1,5.6,36.0,14.46,28
183,2011-01-08,1,0,1,21,0,6,0,1,5.6,39.0,20.42,37
184,2011-01-08,1,0,1,22,0,6,0,1,5.6,36.0,22.12,34
185,2011-01-08,1,0,1,23,0,6,0,1,4.8,39.0,25.52,22
186,2011-01-09,1,0,1,0,0,0,0,1,4.8,42.0,22.12,25
187,2011-01-09,1,0,1,1,0,0,0,1,4.8,42.0,26.37,12
188,2011-01-09,1,0,1,2,0,0,0,1,4.8,46.0,26.37,11
189,2011-01-09,1,0,1,3,0,0,0,1,4.8,46.0,23.82,4
190,2011-01-09,1,0,1,4,0,0,0,1,4.0,53.0,11.06,1
191,2011-01-09,1,0,1,5,0,0,0,1,4.0,53.0,11.06,1
192,2011-01-09,1,0,1,6,0,0,0,1,4.8,49.0,16.16,1
193,2011-01-09,1,0,1,7,0,0,0,1,4.0,53.0,11.06,6
194,2011-01-09,1,0,1,8,0,0,0,1,4.8,49.0,16.16,10
195,2011-01-09,1,0,1,9,0,0,0,1,5.6,46.0,29.78,19
196,2011-01-09,1,0,1,10,0,0,0,1,6.4,43.0,22.12,49
197,2011-01-09,1,0,1,11,0,0,0,1,7.2,40.0,29.78,49
198,2011-01-09,1,0,1,12,0,0,0,1,8.1,37.0,25.52,83
199,2011-01-09,1,0,1,13,0,0,0,1,8.9,34.0,25.52,75
200,2011-01-09,1,0,1,14,0,0,0,1,9.7,32.0,26.37,72
201,2011-01-09,1,0,1,15,0,0,0,1,9.7,35.0,20.42,82
202,2011-01-09,1,0,1,16,0,0,0,1,8.9,34.0,25.52,92
203,2011-01-09,1,0,1,17,0,0,0,1,8.1,37.0,22.12,62
204,2011-01-09,1,0,1,18,0,0,0,1,7.2,40.0,18.72,48
205,2011-01-09,1,0,1,19,0,0,0,1,7.2,43.0,18.72,41
206,2011-01-09,1,0,1,20,0,0,0,1,6.4,46.0,14.46,38
207,2011-01-09,1,0,1,21,0,0,0,1,6.4,46.0,23.82,20
208,2011-01-09,1,0,1,22,0,0,0,1,6.4,46.0,17.01,15
209,2011-01-09,1,0,1,23,0,0,0,1,5.6,50.0,11.06,6
210,2011-01-10,1,0,1,0,0,1,1,1,5.6,50.0,16.16,5
211,2011-01-10,1,0,1,1,0,1,1,1,5.6,50.0,16.16,1
212,2011-01-10,1,0,1,2,0,1,1,1,5.6,50.0,12.76,3
213,2011-01-10,1,0,1,3,0,1,1,1,5.6,50.0,12.76,1
214,2011-01-10,1,0,1,4,0,1,1,1,4.8,54.0,7.65,3
215,2011-01-10,1,0,1,5,0,1,1,1,4.8,54.0,14.46,3
216,2011-01-10,1,0,1,6,0,1,1,1,5.6,50.0,16.16,31
217,2011-01-10,1,0,1,7,0,1,1,1,5.6,50.0,12.76,77
218,2011-01-10,1,0,1,8,0,1,1,2,5.6,50.0,16.16,188
219,2011-01-10,1,0,1,9,0,1,1,2,6.4,50.0,14.46,94
220,2011-01-10,1,0,1,10,0,1,1,2,6.4,50.0,17.01,31
221,2011-01-10,1,0,1,11,0,1,1,2,7.2,47.0,16.16,30
222,2011-01-10,1,0,1,12,0,1,1,2,8.9,40.0,16.16,52
223,2011-01-10,1,0,1,13,0,1,1,2,8.9,40.0,16.16,54
224,2011-01-10,1,0,1,14,0,1,1,2,8.9,40.0,12.76,47
225,2011-01-10,1,0,1,15,0,1,1,2,8.9,40.0,12.76,45
226,2011-01-10,1,0,1,16,0,1,1,1,8.9,40.0,7.65,74
227,2011-01-10,1,0,1,17,0,1,1,1,8.9,40.0,5.96,178
228,2011-01-10,1,0,1,18,0,1,1,1,8.9,40.0,12.76,155
229,2011-01-10,1,0,1,19,0,1,1,1,7.2,47.0,9.36,95
230,2011-01-10,1,0,1,20,0,1,1,1,7.2,50.0,9.36,74
231,2011-01-10,1,0,1,21,0,1,1,1,6.4,59.0,11.06,38
232,2011-01-10,1,0,1,22,0,1,1,1,6.4,59.0,9.36,24
233,2011-01-10,1,0,1,23,0,1,1,1,6.4,59.0,9.36,18
234,2011-01-11,1,0,1,0,0,2,1,1,6.4,59.0,5.96,12
235,2011-01-11,1,0,1,1,0,2,1,1,6.4,59.0,9.36,3
236,2011-01-11,1,0,1,2,0,2,1,2,7.2,55.00000000000001,11.06,3
237,2011-01-11,1,0,1,5,0,2,1,2,7.2,55.00000000000001,7.65,6
238,2011-01-11,1,0,1,6,0,2,1,2,7.2,55.00000000000001,7.65,27
239,2011-01-11,1,0,1,7,0,2,1,2,7.2,55.00000000000001,0.0,99
240,2011-01-11,1,0,1,8,0,2,1,2,8.1,51.0,5.11,217
241,2011-01-11,1,0,1,9,0,2,1,2,8.1,51.0,9.36,130
242,2011-01-11,1,0,1,10,0,2,1,2,8.9,51.0,9.36,54
243,2011-01-11,1,0,1,11,0,2,1,2,8.9,47.0,7.65,35
244,2011-01-11,1,0,1,12,0,2,1,2,8.9,51.0,5.96,57
245,2011-01-11,1,0,1,13,0,2,1,2,8.9,59.0,5.11,52
246,2011-01-11,1,0,1,14,0,2,1,2,8.9,59.0,5.11,63
247,2011-01-11,1,0,1,15,0,2,1,2,7.2,80.0,5.11,47
248,2011-01-11,1,0,1,16,0,2,1,2,7.2,86.0,12.76,76
249,2011-01-11,1,0,1,17,0,2,1,2,7.2,86.0,12.76,136
250,2011-01-11,1,0,1,18,0,2,1,3,7.2,93.0,5.96,95
251,2011-01-11,1,0,1,19,0,2,1,3,7.2,93.0,0.0,51
252,2011-01-11,1,0,1,20,0,2,1,3,7.2,93.0,11.06,32
253,2011-01-11,1,0,1,21,0,2,1,3,7.2,86.0,5.11,20
254,2011-01-11,1,0,1,22,0,2,1,3,7.2,93.0,5.96,29
255,2011-01-11,1,0,1,23,0,2,1,3,7.2,93.0,5.11,19
256,2011-01-12,1,0,1,0,0,3,1,2,7.2,86.0,5.11,7
257,2011-01-12,1,0,1,1,0,3,1,2,7.2,86.0,5.96,6
258,2011-01-12,1,0,1,2,0,3,1,1,6.4,86.0,7.65,1
259,2011-01-12,1,0,1,5,0,3,1,1,6.4,86.0,9.36,5
260,2011-01-12,1,0,1,6,0,3,1,1,5.6,93.0,7.65,16
261,2011-01-12,1,0,1,7,0,3,1,1,6.4,69.0,7.65,54
262,2011-01-12,1,0,1,8,0,3,1,1,7.2,59.0,9.36,128
263,2011-01-12,1,0,1,9,0,3,1,1,7.2,59.0,18.72,81
264,2011-01-12,1,0,1,10,0,3,1,1,8.1,55.00000000000001,12.76,39
265,2011-01-12,1,0,1,11,0,3,1,1,8.9,51.0,22.12,35
266,2011-01-12,1,0,1,12,0,3,1,1,8.9,47.0,33.18,55
267,2011-01-12,1,0,1,13,0,3,1,1,9.7,44.0,20.42,49
268,2011-01-12,1,0,1,14,0,3,1,1,8.9,47.0,18.72,44
269,2011-01-12,1,0,1,15,0,3,1,1,8.9,47.0,23.82,49
270,2011-01-12,1,0,1,16,0,3,1,1,9.7,44.0,18.72,68
271,2011-01-12,1,0,1,17,0,3,1,1,8.9,47.0,20.42,139
272,2011-01-12,1,0,1,18,0,3,1,1,8.9,47.0,29.78,137
273,2011-01-12,1,0,1,19,0,3,1,1,8.1,47.0,23.82,83
274,2011-01-12,1,0,1,20,0,3,1,1,7.2,50.0,18.72,56
275,2011-01-12,1,0,1,21,0,3,1,1,7.2,55.00000000000001,18.72,57
276,2011-01-12,1,0,1,22,0,3,1,1,7.2,55.00000000000001,25.52,33
277,2011-01-12,1,0,1,23,0,3,1,1,6.4,59.0,23.82,20
278,2011-01-13,1,0,1,0,0,4,1,1,6.4,59.0,16.16,7
279,2011-01-13,1,0,1,1,0,4,1,1,6.4,50.0,16.16,2
280,2011-01-13,1,0,1,2,0,4,1,1,6.4,50.0,20.42,2
281,2011-01-13,1,0,1,3,0,4,1,1,6.4,50.0,18.72,3
282,2011-01-13,1,0,1,4,0,4,1,1,6.4,50.0,14.46,4
283,2011-01-13,1,0,1,5,0,4,1,1,6.4,50.0,17.01,3
284,2011-01-13,1,0,1,6,0,4,1,1,5.6,54.0,7.65,28
285,2011-01-13,1,0,1,7,0,4,1,1,5.6,54.0,7.65,72
286,2011-01-13,1,0,1,8,0,4,1,1,6.4,50.0,11.06,202
287,2011-01-13,1,0,1,9,0,4,1,1,6.4,50.0,18.72,139
288,2011-01-13,1,0,1,10,0,4,1,2,7.2,50.0,20.42,38
289,2011-01-13,1,0,1,11,0,4,1,2,8.9,44.0,25.52,37
290,2011-01-13,1,0,1,12,0,4,1,1,8.9,44.0,23.82,52
291,2011-01-13,1,0,1,13,0,4,1,1,9.7,41.0,25.52,83
292,2011-01-13,1,0,1,14,0,4,1,1,9.7,41.0,22.12,42
293,2011-01-13,1,0,1,15,0,4,1,1,10.5,38.0,17.01,60
294,2011-01-13,1,0,1,16,0,4,1,1,10.5,38.0,20.42,78
295,2011-01-13,1,0,1,17,0,4,1,1,8.9,40.0,16.16,162
296,2011-01-13,1,0,1,18,0,4,1,1,8.9,40.0,18.72,144
297,2011-01-13,1,0,1,19,0,4,1,1,7.2,47.0,14.46,99
298,2011-01-13,1,0,1,20,0,4,1,1,7.2,47.0,12.76,64
299,2011-01-13,1,0,1,21,0,4,1,1,6.4,46.0,17.01,40
300,2011-01-13,1,0,1,22,0,4,1,1,6.4,46.0,18.72,30
301,2011-01-13,1,0,1,23,0,4,1,1,5.6,50.0,11.06,15
302,2011-01-14,1,0,1,0,0,5,1,1,5.6,50.0,11.06,14
303,2011-01-14,1,0,1,1,0,5,1,1,4.8,54.0,9.36,5
304,2011-01-14,1,0,1,2,0,5,1,1,4.8,54.0,7.65,1
305,2011-01-14,1,0,1,3,0,5,1,1,4.8,54.0,5.96,1
306,2011-01-14,1,0,1,5,0,5,1,1,4.8,54.0,5.11,8
307,2011-01-14,1,0,1,6,0,5,1,1,4.8,54.0,0.0,17
308,2011-01-14,1,0,1,7,0,5,1,1,4.8,74.0,9.36,70
309,2011-01-14,1,0,1,8,0,5,1,1,5.6,68.0,0.0,158
310,2011-01-14,1,0,1,9,0,5,1,1,6.4,69.0,7.65,117
311,2011-01-14,1,0,1,10,0,5,1,1,8.1,55.00000000000001,11.06,44
312,2011-01-14,1,0,1,11,0,5,1,1,8.1,51.0,16.16,53
313,2011-01-14,1,0,1,12,0,5,1,1,8.9,44.0,14.46,61
314,2011-01-14,1,0,1,13,0,5,1,1,9.7,37.0,22.12,77
315,2011-01-14,1,0,1,14,0,5,1,1,9.7,41.0,16.16,64
316,2011-01-14,1,0,1,15,0,5,1,1,10.5,38.0,9.36,68
317,2011-01-14,1,0,1,16,0,5,1,1,9.7,41.0,5.96,90
318,2011-01-14,1,0,1,17,0,5,1,1,9.7,41.0,9.36,159
319,2011-01-14,1,0,1,18,0,5,1,1,8.9,47.0,0.0,139
320,2011-01-14,1,0,1,19,0,5,1,1,7.2,59.0,5.11,92
321,2011-01-14,1,0,1,20,0,5,1,1,8.1,59.0,0.0,68
322,2011-01-14,1,0,1,21,0,5,1,1,7.2,69.0,0.0,52
323,2011-01-14,1,0,1,22,0,5,1,2,7.2,69.0,0.0,36
324,2011-01-14,1,0,1,23,0,5,1,2,8.1,55.00000000000001,0.0,27
325,2011-01-15,1,0,1,0,0,6,0,1,8.1,55.00000000000001,0.0,28
326,2011-01-15,1,0,1,1,0,6,0,2,7.2,59.0,5.11,20
327,2011-01-15,1,0,1,2,0,6,0,2,7.2,59.0,5.11,12
328,2011-01-15,1,0,1,3,0,6,0,2,7.2,59.0,0.0,8
329,2011-01-15,1,0,1,4,0,6,0,2,7.2,59.0,0.0,5
330,2011-01-15,1,0,1,5,0,6,0,1,7.2,59.0,0.0,1
331,2011-01-15,1,0,1,6,0,6,0,1,6.4,63.0,5.96,3
332,2011-01-15,1,0,1,7,0,6,0,1,6.4,63.0,0.0,10
333,2011-01-15,1,0,1,8,0,6,0,1,6.4,63.0,7.65,23
334,2011-01-15,1,0,1,9,0,6,0,1,7.2,64.0,7.65,33
335,2011-01-15,1,0,1,10,0,6,0,1,8.1,59.0,9.36,59
336,2011-01-15,1,0,1,11,0,6,0,1,8.9,55.00000000000001,12.76,72
337,2011-01-15,1,0,1,12,0,6,0,1,10.5,48.0,12.76,89
338,2011-01-15,1,0,1,13,0,6,0,1,12.1,38.0,17.01,101
339,2011-01-15,1,0,1,14,0,6,0,1,12.9,39.0,16.16,118
340,2011-01-15,1,0,1,15,0,6,0,2,13.7,36.0,11.06,129
341,2011-01-15,1,0,1,16,0,6,0,2,14.5,34.0,11.06,128
342,2011-01-15,1,0,1,17,0,6,0,2,13.7,36.0,16.16,83
343,2011-01-15,1,0,1,18,0,6,0,2,12.9,45.0,14.46,84
344,2011-01-15,1,0,1,19,0,6,0,2,13.7,39.0,14.46,74
345,2011-01-15,1,0,1,20,0,6,0,2,13.7,39.0,14.46,41
346,2011-01-15,1,0,1,21,0,6,0,2,13.7,39.0,12.76,57
347,2011-01-15,1,0,1,22,0,6,0,2,12.9,42.0,5.96,26
348,2011-01-15,1,0,1,23,0,6,0,1,12.9,45.0,16.16,44
349,2011-01-16,1,0,1,0,0,0,0,1,11.3,56.00000000000001,0.0,39
350,2011-01-16,1,0,1,1,0,0,0,1,11.3,56.00000000000001,7.65,23
351,2011-01-16,1,0,1,2,0,0,0,1,11.3,56.00000000000001,5.11,16
352,2011-01-16,1,0,1,3,0,0,0,1,9.7,69.0,0.0,15
353,2011-01-16,1,0,1,4,0,0,0,1,11.3,56.00000000000001,9.36,1
